date,open,high,low,close,volume,pct_change
1999-08-09,0.4206,0.4246,0.4167,0.4193,3105599.91,0.0
1999-08-10,0.4219,0.4453,0.4193,0.4271,21206399.35,0.02
1999-08-11,0.4323,0.461,0.4297,0.4558,19771199.4,0.07
1999-08-12,0.4584,0.4897,0.4558,0.4779,23961599.27,0.05
1999-08-13,0.4792,0.4831,0.4688,0.4727,8467199.74,-0.01
1999-08-16,0.4766,0.4766,0.4388,0.4545,22343999.32,-0.04
1999-08-17,0.4558,0.4636,0.444,0.4558,19353599.41,0.0
1999-08-18,0.4505,0.4714,0.4414,0.4662,27988799.15,0.02
1999-08-19,0.4987,0.5912,0.4818,0.5651,196699194.0,0.21
1999-08-20,0.5664,0.5703,0.5391,0.5599,35308798.92,-0.01
1999-08-23,0.5522,0.5522,0.5078,0.5261,50798398.45,-0.06
1999-08-24,0.5183,0.5287,0.4922,0.5235,39806398.79,-0.0
1999-08-25,0.5248,0.53,0.5,0.5209,35035198.93,-0.0
1999-08-26,0.5209,0.5287,0.5052,0.513,27537599.16,-0.02
1999-08-27,0.5235,0.5626,0.5209,0.5417,55238398.32,0.06
1999-08-30,0.5508,0.5612,0.517,0.5397,15863999.52,-0.0
1999-08-31,0.5417,0.5886,0.5313,0.586,78686397.6,0.09
1999-09-01,0.586,0.586,0.5495,0.5586,56534398.28,-0.05
1999-09-02,0.5404,0.5547,0.5287,0.5521,34108798.96,-0.01
1999-09-03,0.5625,0.5703,0.5521,0.556,25886399.21,0.01
1999-09-07,0.5651,0.5651,0.5508,0.5534,12441599.62,-0.0
1999-09-08,0.5547,0.5586,0.5521,0.5521,17006399.48,-0.0
1999-09-09,0.5574,0.5613,0.5339,0.5443,20947199.36,-0.01
1999-09-10,0.5534,0.5599,0.5495,0.5521,16742399.49,0.01
1999-09-13,0.5548,0.5548,0.5287,0.5339,17443199.47,-0.03
1999-09-14,0.5339,0.5339,0.5157,0.5183,25036799.24,-0.03
1999-09-15,0.5117,0.5287,0.5078,0.5222,21273599.35,0.01
1999-09-16,0.5157,0.5209,0.5026,0.5091,15811199.52,-0.03
1999-09-17,0.5059,0.5104,0.4896,0.5078,17164799.48,-0.0
1999-09-20,0.4987,0.5052,0.4896,0.4896,22910399.3,-0.04
1999-09-21,0.4792,0.4818,0.4362,0.4427,73732797.75,-0.1
1999-09-22,0.4427,0.4558,0.4167,0.4532,37598398.85,0.02
1999-09-23,0.4545,0.4558,0.4115,0.4154,37958398.84,-0.08
1999-09-24,0.4167,0.4271,0.349,0.3776,68491197.91,-0.09
1999-09-27,0.4024,0.4089,0.3776,0.4011,43199998.68,0.06
1999-09-28,0.4017,0.4427,0.4011,0.4375,41318398.74,0.09
1999-09-29,0.4467,0.4636,0.3959,0.4024,59404798.19,-0.08
1999-09-30,0.4167,0.4298,0.3959,0.4011,34252798.96,-0.0
1999-10-01,0.3946,0.4089,0.3776,0.3985,34775998.94,-0.01
1999-10-04,0.4115,0.4128,0.4011,0.4063,17759999.46,0.02
1999-10-05,0.4063,0.4479,0.4063,0.4453,47807998.54,0.1
1999-10-06,0.4466,0.5209,0.4427,0.4987,150873595.4,0.12
1999-10-07,0.5196,0.5196,0.4636,0.4662,48729598.51,-0.07
1999-10-08,0.4662,0.5039,0.4479,0.4896,39892798.78,0.05
1999-10-11,0.4936,0.4949,0.4636,0.4766,54446398.34,-0.03
1999-10-12,0.4792,0.4845,0.4688,0.4701,32299199.01,-0.01
1999-10-13,0.4649,0.4649,0.4479,0.4571,28036799.14,-0.03
1999-10-14,0.4584,0.4584,0.4427,0.4479,19233599.41,-0.02
1999-10-15,0.4258,0.4479,0.4245,0.4453,21071999.36,-0.01
1999-10-18,0.4466,0.4466,0.4193,0.4219,21518399.34,-0.05
1999-10-19,0.435,0.435,0.3972,0.405,30892799.06,-0.04
1999-10-20,0.4115,0.4246,0.405,0.4193,34871998.94,0.04
1999-10-21,0.418,0.4388,0.4063,0.4388,38212798.83,0.05
1999-10-22,0.4375,0.4623,0.4375,0.4492,28675199.13,0.02
1999-10-25,0.4466,0.4532,0.4271,0.4271,21383999.35,-0.05
1999-10-26,0.4453,0.4845,0.4427,0.4688,48124798.53,0.1
1999-10-27,0.4714,0.474,0.4401,0.4479,21412799.35,-0.04
1999-10-28,0.4505,0.4584,0.4245,0.4271,22276799.32,-0.05
1999-10-29,0.4323,0.4688,0.4297,0.461,33052798.99,0.08
1999-11-01,0.4532,0.5078,0.4532,0.4896,78254397.61,0.06
1999-11-02,0.4987,0.5235,0.4948,0.5209,83750397.45,0.06
1999-11-03,0.5417,0.586,0.5378,0.5716,201167993.86,0.1
1999-11-04,0.5782,0.6238,0.5782,0.6081,126033596.16,0.06
1999-11-05,0.6251,0.6303,0.5599,0.5886,61636798.12,-0.03
1999-11-08,0.5703,0.6225,0.5521,0.6055,47001598.57,0.03
1999-11-09,0.6042,0.6068,0.5729,0.5964,27235199.17,-0.02
1999-11-10,0.5984,0.599,0.5795,0.5912,14404799.56,-0.01
1999-11-11,0.5912,0.6641,0.5782,0.6328,56270398.28,0.07
1999-11-12,0.6602,0.6667,0.6224,0.6667,50150398.47,0.05
1999-11-15,0.6713,0.6915,0.6433,0.6537,36220798.9,-0.02
1999-11-16,0.6693,0.7292,0.6667,0.7162,72379197.79,0.1
1999-11-17,0.7292,0.7813,0.7188,0.7435,78638397.6,0.04
1999-11-18,0.7591,0.7657,0.7396,0.7461,23596799.28,0.0
1999-11-19,0.836,0.9246,0.8334,0.8933,216417593.4,0.2
1999-11-22,0.9161,0.9167,0.8386,0.892,55492798.31,-0.0
1999-11-23,0.8008,0.8373,0.7917,0.8282,55324798.31,-0.07
1999-11-24,0.8242,0.8334,0.7409,0.8021,40684798.76,-0.03
1999-11-26,0.7943,0.8021,0.7709,0.7969,6959999.79,-0.01
